Battery,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,Inovation_Score
83.7,195,1060.0,57833.3444159492,430,260,0.623472461106733
46.3,232,320.0,42440.0,200,135,0.3191388061275748
90.0,209,450.0,94900.0,430,200,0.42187151966774156
91.0,214,380.0,77300.0,425,200,0.4384964703286902
64.7,175,530.0,67264.284789644,370,180,0.37078760131284805
64.0,178,540.0,45970.0,360,180,0.4006068488748345
95.0,235,440.0,67264.284789644,405,220,0.5058864018669725
94.0,188,700.0,68970.0,500,200,0.48769727241960703
90.0,186,500.0,68500.0,485,200,0.44398728016903305
79.0,176,670.0,65275.0,450,205,0.4569205504233864
66.5,193,500.0,55519.0,345,160,0.36542257064334266
101.0,220,600.0,67264.284789644,460,180,0.4613532616391189
45.0,200,230.0,39990.0,225,132,0.2563972542593802
59.3,174,240.0,44490.0,340,160,0.3011682129725305
89.0,173,650.0,70995.0,515,210,0.45280065052736973
89.0,200,690.0,76650.0,445,200,0.465681972825633
37.3,159,390.0,36990.0,235,150,0.26895458964378754
77.0,195,590.0,54950.0,395,180,0.42853058867296884
70.5,178,530.0,59500.0,395,200,0.4221625697104977
37.0,157,360.0,67264.284789644,235,160,0.24330313851825863
74.0,211,860.0,67300.0,350,235,0.5431828311822333
66.5,193,500.0,58197.0,345,160,0.3726925069683882
73.0,190,440.0,67264.284789644,385,180,0.3795116780551675
108.4,203,800.0,57833.3444159492,535,250,0.6059554209366773
70.5,183,520.0,59500.0,385,200,0.42506270122455325
90.6,208,550.0,89548.0,435,210,0.4406699195072135
77.0,186,620.0,61000.0,415,180,0.42559732027043157
77.0,177,650.0,61050.0,435,180,0.4224515687779096
82.5,188,880.0,69200.0,440,225,0.5212710294438643
58.0,168,460.0,40750.0,345,160,0.3468405322419493
71.0,169,1030.0,93139.0,420,230,0.4859021129944546
108.4,221,730.0,57833.3444159492,490,210,0.5560924076779084
46.3,160,460.0,67264.284789644,290,150,0.26146083314430774
27.0,180,552.9608938547486,24990.0,150,135,0.28706368796959425
45.0,200,230.0,49445.0,225,132,0.24468160199926917
72.6,207,430.0,67264.284789644,350,180,0.3921904598095263
64.0,188,170.0,67264.284789644,340,160,0.2858321586418432
108.4,184,880.0,57833.3444159492,590,210,0.5581194405854326
83.7,174,1180.0,57833.3444159492,480,250,0.6102325191177218
90.6,179,750.0,88215.0,505,210,0.46552539417078104
83.7,190,1080.0,103254.0,440,220,0.5115224404535649
81.0,208,290.0,53090.0,390,150,0.3565516436805538
108.4,221,730.0,57833.3444159492,490,210,0.5513865253249671
87.0,215,480.0,71490.0,405,200,0.45101827209375894
68.0,257,290.0,56942.0,265,130,0.3381560983417613
76.6,192,570.0,67264.284789644,400,180,0.4089511042283986
59.3,180,230.0,49490.0,330,160,0.29939185205040425
90.6,201,570.0,83479.0,450,210,0.4396097934631774
106.0,221,610.0,98050.0,480,210,0.48604009711748386
77.0,186,620.0,56950.0,415,180,0.4235568353611625
82.7,180,640.0,67264.284789644,460,200,0.45354356327096934
62.0,194,490.0,46490.0,320,180,0.4137013813813466
46.3,220,330.0,37800.0,210,135,0.3142963449256436
58.0,163,480.0,67264.284789644,355,160,0.2999311954947892
37.3,162,380.0,37990.0,230,150,0.26903219597325345
90.6,218,620.0,57833.3444159492,415,210,0.5153685243386117
68.0,257,290.0,64530.0,265,130,0.32993030881897356
46.3,226,330.0,40150.0,205,135,0.31904384802609276
71.0,171,1020.0,57833.3444159492,415,250,0.5581950376118859
87.7,206,550.0,52990.0,425,200,0.47388296066148006
90.6,195,690.0,57833.3444159492,465,210,0.5080655053174243
66.5,187,510.0,53520.0,355,160,0.3652451104850939
21.3,158,230.0,67264.284789644,135,135,0.15687590541381038
46.3,250,290.0,53640.0,185,130,0.3154007780514016
37.8,168,370.0,37990.0,225,155,0.29179877129418474
90.6,221,610.0,57833.3444159492,410,240,0.5521603397458403
68.0,262,280.0,70075.0,260,130,0.3262377281255883
60.0,171,430.0,47588.0,350,160,0.33666901754386785
68.0,262,280.0,65385.0,260,130,0.3332255587455445
70.5,201,470.0,65500.0,350,200,0.4229183315619294
39.2,170,200.0,67264.284789644,230,157,0.2146529592113407
46.3,226,330.0,43050.0,205,135,0.3125092932842912
68.0,257,290.0,57940.0,265,130,0.3369194805780817
90.6,195,690.0,57833.3444159492,465,220,0.5224395626326581
90.0,295,310.0,65140.0,305,160,0.43934359048572214
83.7,188,1090.0,57833.3444159492,445,260,0.6202073877586367
68.0,257,290.0,57940.0,265,130,0.3310371276369052
46.3,226,330.0,41240.0,205,135,0.31475205696391056
68.0,262,280.0,60430.0,260,130,0.33230645567608513
74.0,195,990.0,63200.0,380,200,0.5123563908523944
83.7,190,1080.0,57833.3444159492,440,240,0.594198164542042
87.7,206,550.0,58890.0,425,200,0.4689252356999649
71.0,187,930.0,94091.0,380,230,0.4825707593031245
60.0,286,200.0,68056.0,210,160,0.37478027982404916
90.0,290,310.0,72519.0,310,160,0.42347167488098464
60.0,286,310.0,60678.0,210,160,0.40356518692725524
37.8,168,370.0,40990.0,225,155,0.28808148342741235
74.0,203,950.0,73100.0,365,235,0.5454557114289298
28.9,175,230.0,67264.284789644,165,150,0.21151646068876623
68.0,257,290.0,59640.0,265,130,0.3348130174535773
70.5,207,460.0,85900.0,340,200,0.4055893046884106
68.0,257,290.0,59640.0,265,130,0.3289306645124008
46.3,250,290.0,53640.0,185,130,0.3095184251102251
83.7,197,1050.0,57833.3444159492,425,250,0.6077196481465487
83.7,197,1050.0,57833.3444159492,425,250,0.6100725893230192
68.0,262,280.0,58730.0,260,130,0.3344129188005895
68.0,262,280.0,62990.0,260,130,0.33501672297094914
46.3,257,290.0,54430.0,180,130,0.32360025818434446
83.7,204,1010.0,57833.3444159492,410,250,0.6115519483854013
46.3,226,330.0,43640.0,205,135,0.31177822667049265
21.3,158,230.0,35490.0,135,135,0.19624729318844855
83.7,188,1090.0,99815.0,445,230,0.5244776808756144
68.0,257,290.0,67264.284789644,265,130,0.3265422675946923
46.3,257,290.0,67264.284789644,180,130,0.30769734780859603
83.7,212,970.0,57833.3444159492,395,260,0.6230419991636129
68.0,262,280.0,60430.0,260,130,0.33818880861726164
46.3,250,290.0,51940.0,185,130,0.31750724117590595
46.3,250,290.0,63250.0,185,130,0.303493065918174
68.0,262,280.0,67264.284789644,260,130,0.3308969445632933
68.0,262,280.0,58730.0,260,130,0.340295271741766
83.7,195,1060.0,57833.3444159492,430,250,0.606157227320911
46.3,232,320.0,44750.0,200,135,0.31627649447016
46.3,250,290.0,67264.284789644,185,130,0.29851898187073644
71.0,192,910.0,57833.3444159492,370,250,0.5573600055553348
46.3,250,290.0,51940.0,185,130,0.31162488823472945
60.0,293,300.0,61571.0,205,160,0.40985132589105794
46.3,250,290.0,54430.0,185,130,0.30853953930530836
68.0,257,290.0,61990.0,265,130,0.3319011419579389
83.7,207,1000.0,57833.3444159492,405,260,0.6213603550445153
60.0,286,200.0,68949.0,210,160,0.3736737671357066
68.0,262,280.0,57775.0,260,130,0.3414786083793552
46.3,250,290.0,50992.0,185,130,0.318681904141806
46.3,257,290.0,64075.0,180,130,0.3116491776926712
46.3,250,290.0,52730.0,185,130,0.3106460024298128
46.3,257,290.0,52730.0,180,130,0.3257067213088488
46.3,250,290.0,55990.0,185,130,0.3124889025557632
46.3,257,290.0,51825.0,180,130,0.3268281031486585
68.0,257,290.0,69250.0,265,130,0.3229053053203497
46.3,257,290.0,56990.0,180,130,0.320428172538032
